county_id,id,year,yield
1802,131,2012,189.4
2793,132,2012,181.1
3214,133,2012,195.2
3203,134,2012,178.3
422,135,2012,196.0
1499,136,2012,186.3
3072,137,2012,208.7
4,138,2012,179.2
1849,139,2012,163.8
1529,140,2012,194.9
1204,141,2012,183.7
1908,142,2012,182.7
2111,143,2012,188.1
2527,144,2012,203.9
2693,145,2012,175.9
2503,146,2012,210.1
45,147,2012,192.4
78,148,2012,194.2
742,149,2012,192.7
1848,150,2012,194.7
313,151,2012,196.4
1594,152,2012,173.8
368,153,2012,198.0
2950,154,2012,167.5
1,155,2012,195.6
3154,156,2012,172.7
242,157,2012,185.7
1523,158,2012,191.6
2211,159,2012,173.1
1326,160,2012,180.9
759,161,2012,143.0
1550,162,2012,153.8
3010,163,2012,160.1
2620,164,2012,148.5
1022,165,2012,151.2
3019,166,2012,153.1
887,167,2012,150.4
1805,168,2012,170.8
914,169,2012,206.5
2231,170,2012,201.9
517,171,2012,177.1
262,172,2012,197.9
2676,173,2012,208.0
960,174,2012,217.0
607,175,2012,216.3
591,176,2012,194.2
2584,177,2012,186.1
2486,178,2012,209.9
286,179,2012,184.5
109,180,2012,194.9
307,181,2012,184.8
1092,182,2012,224.1
5,183,2012,212.2
978,184,2012,179.0
1887,185,2012,171.0
2745,186,2012,164.7
110,187,2012,201.9
2957,188,2012,210.7
2408,189,2012,197.8
131,190,2012,161.4
3075,191,2012,173.7
1726,192,2012,181.2
972,193,2012,148.7
606,194,2012,174.6
338,195,2012,198.3
576,196,2012,185.2
1644,197,2012,180.0
129,198,2012,128.0
2448,199,2012,152.9
2740,200,2012,76.2
1009,201,2012,114.6
203,202,2012,155.6
2353,203,2006,170.0
1178,204,2012,126.3
53,205,2011,194.5
2556,206,2011,181.1
1461,207,2011,165.0
1727,208,2011,182.4
455,209,2011,199.6
2036,210,2011,194.9
2561,211,2011,142.9
727,212,2011,100.0
982,213,2011,125.0
2452,214,2011,142.1
2916,215,2011,130.0
1372,216,2011,172.5
1458,217,2011,165.0
1367,218,2011,168.5
219,219,2011,168.8
2430,220,2011,148.8
2320,221,2011,123.7
77,222,2011,174.4
2699,223,2011,146.9
323,224,2011,197.1
2944,225,2011,169.0
1340,226,2011,175.1
647,227,2011,156.0
