code,county_id,elevation,id,lat,lon,name,state_abbr
073595,198,13.7,139,38.8161,-75.5761,GREENWOOD 2NE,DE
075915,198,10.7,140,38.8983,-75.425,MILFORD 2 SE,DE
076410,984,27.4,141,39.6694,-75.7514,NEWARK UNIV FARM,DE
079605,984,82.3,142,39.7739,-75.5414,WILMINGTON PORTER RES,DE
080211,1385,6.1,143,29.7258,-85.0206,APALACHICOLA AP,FL
080228,1059,9.1,144,27.2181,-81.8739,ARCADIA,FL
080478,2217,38.1,145,27.8986,-81.8433,BARTOW,FL
080611,99,6.1,146,26.6928,-80.6711,BELLE GLADE,FL
082220,579,74.7,147,30.7244,-86.0939,DE FUNIAK SPRINGS 1,FL
082850,2347,1.5,148,25.8489,-81.3897,EVERGLADES,FL
082915,357,1.5,149,29.755,-81.5389,FEDERAL POINT,FL
082944,2747,4.0,150,30.6589,-81.4636,FERNANDINA BEACH,FL
083163,766,4.9,151,26.1019,-80.2011,FT LAUDERDALE,FL
083186,1901,4.6,152,26.585,-81.8614,FT MYERS PAGE FLD,FL
083207,2241,7.6,153,27.4622,-80.3539,FT PIERCE,FL
084289,864,12.2,154,28.8031,-82.3125,INVERNESS 3 SE,FL
084570,1680,1.2,155,24.555,-81.7522,KEY WEST INTL AP,FL
084731,2321,59.4,156,30.1853,-82.5942,LAKE CITY 2 E,FL
085275,2487,36.6,157,30.4517,-83.4119,MADISON,FL
086414,2545,22.9,158,29.0803,-82.0778,OCALA,FL
086997,264,34.1,159,30.4781,-87.1869,PENSACOLA RGNL AP,FL
087020,130,3.0,160,25.5819,-80.4361,PERRINE 4W,FL
087851,1398,57.9,161,28.3378,-82.26,SAINT LEO,FL
088758,3135,16.8,162,30.3931,-84.3533,TALLAHASSEE WSO AP,FL
088824,1336,2.4,163,28.1586,-82.7644,TARPON SPGS SEWAGE PL,FL
088942,2822,1.5,164,28.6242,-80.8158,TITUSVILLE,FL
090140,289,54.9,165,31.5339,-84.1489,ALBANY 3 SE,GA
090586,518,57.9,166,30.8228,-84.6175,BAINBRIDGE INTL PAPER,GA
116579,1977,213.4,167,39.3722,-89.0242,PANA 3E,IL
091340,3057,4.0,168,31.1681,-81.5022,BRUNSWICK,GA
091500,2787,53.3,169,31.1903,-84.2036,CAMILLA 3SE,GA
092318,2844,234.4,170,33.5972,-83.8436,COVINGTON,GA
092475,2993,475.5,171,34.5292,-83.99,DAHLONEGA,GA
092966,1653,121.9,172,32.2003,-83.2058,EASTMAN 1 W,GA
093621,1295,356.6,173,34.3006,-83.86,GAINESVILLE,GA
093754,2926,61.0,174,31.9881,-81.9522,GLENNVILLE 3NW,GA
094170,510,74.7,175,33.2842,-83.4681,HAWKINSVILLE,GA
095874,3128,112.2,176,33.0831,-83.2497,MILLEDGEVILLE,GA
095882,2401,59.4,177,32.8703,-81.9672,MILLEN 4 N,GA
096335,1511,272.5,178,33.4544,-84.8178,NEWNAN 5N,GA
097276,2491,56.4,179,30.7836,-83.5692,QUITMAN 2 NW,GA
097600,588,200.9,180,34.2453,-85.1514,ROME,GA
097847,469,14.0,181,32.13,-81.21,SAVANNAH INTL AP,GA
098535,1588,195.1,182,32.6875,-84.5197,TALBOTTON,GA
098703,1157,115.8,183,31.4461,-83.4767,TIFTON,GA
098740,1818,308.5,184,34.5786,-83.3319,TOCCOA,GA
099141,2398,149.4,185,33.4028,-82.6222,WARRENTON,GA
099157,2930,189.0,186,33.7264,-82.7058,WASHINGTON 2 ESE,GA
099186,1811,44.2,187,31.2514,-82.3128,WAYCROSS 4 NE,GA
