id,lat,lon,name,state_id
999,37.5551488235661,-90.773490358918,Iron,45
1000,33.1495558647189,-95.5639501768146,Hopkins,26
1001,42.6001763903874,-73.9735585946687,Albany,38
1002,31.3177325696478,-95.422677161797,Houston,26
1003,39.7273472671968,-81.0829172856745,Monroe,25
1004,38.5231613141241,-99.3092409486538,Rush,47
1005,40.0403785242713,-86.893299798529,Montgomery,48
1006,37.5630612769282,-101.78418326044,Stanton,47
1007,37.5947984930136,-83.7162763364264,Lee,34
1008,48.2452683503314,-93.7833663297485,Koochiching,4
1009,29.4489581212089,-98.5200254854686,Bexar,26
1010,40.0924573647364,-105.357703780732,Boulder,27
1011,36.050987796212,-83.4463087845048,Jefferson,30
1012,36.3018781377505,-95.230845868524,Mayes,29
1013,43.9784278930826,-94.6140606082671,Watonwan,4
1014,43.4123252447937,-113.980396624815,Blaine,7
1015,30.2677218671793,-92.814120921228,Jefferson Davis,21
1016,44.7155771886662,-100.132201860402,Sully,50
1017,39.7620145983491,-104.876359284557,Denver,27
1018,34.5881926723235,-96.2978566440276,Coal,29
1019,45.5167736510032,-104.5361553685,Carter,46
1020,31.3687301917752,-102.043034953069,Upton,26
1021,38.3118253122527,-87.5845947111087,Gibson,48
1022,41.1976566613608,-103.714949917056,Kimball,18
1023,41.5905607830879,-88.4288497452991,Kendall,3
1024,38.9047662221674,-77.0162901997674,District of Columbia,53
1025,38.4021847138215,-108.269355827332,Montrose,27
1026,45.173925448703,-93.9630473689419,Wright,4
1027,42.578504254953,-87.6531188825176,Kenosha,16
1028,39.627825643771,-106.695299223443,Eagle,27
1029,37.7597150035532,-122.693975621692,San Francisco,14
1030,38.0037441741394,-108.40582773671,San Miguel,27
1031,61.1483350095673,-149.194720752094,Anchorage,40
1032,29.9121843109962,-81.4098873355919,St. Johns,2
1033,33.3473070816596,-89.2483811425887,Choctaw,44
1034,40.1139293652036,-93.5653354690472,Grundy,45
1035,43.9900060794975,-85.8017029070925,Lake,42
1036,42.9485348851324,-86.4218822814818,Ottawa,42
1037,41.8954008073547,-87.646160232445,Cook,3
1038,37.7627465792637,-88.2305034684818,Gallatin,3
1039,34.1538283357537,-82.1259287099136,Greenwood,28
1040,38.5645175395815,-95.2859483113286,Franklin,47
1041,46.8923420649386,-96.4906468998401,Clay,4
1042,35.5832216323535,-89.2838364007359,Haywood,30
1043,41.520965493637,-113.08208624789,Box Elder,24
1044,34.7684002013184,-88.9088980484382,Tippah,44
1045,39.8606128581951,-80.6633865310323,Marshall,1
1046,38.8344683205965,-81.6747943289213,Jackson,1
1047,43.3539002796761,-115.469178599242,Elmore,7
1048,39.4430742507787,-76.6163189148387,Baltimore,5
