,lat,lon,yld,yld_ordinal,elevation,mukey,soil
2642,41.252726826086956,-97.14343988405797,187.5496533150454,5.0,1627.6247,1691270,"Butler silt loam, 0 to 1 percent slopes"
2643,41.252726826086956,-97.14335242028986,187.22271749455484,5.0,1632.5459,1691270,"Butler silt loam, 0 to 1 percent slopes"
2644,41.252726826086956,-97.14326495652173,186.1263961109723,5.0,1624.3438,1691270,"Butler silt loam, 0 to 1 percent slopes"
2645,41.252726826086956,-97.14317749275362,184.60830190184956,4.0,1627.9528,1691270,"Butler silt loam, 0 to 1 percent slopes"
2646,41.252726826086956,-97.14309002898551,183.4355435438059,4.0,1632.5459,1691270,"Butler silt loam, 0 to 1 percent slopes"
2647,41.252726826086956,-97.14300256521739,183.06060643451698,4.0,1629.9213,1691270,"Butler silt loam, 0 to 1 percent slopes"
2648,41.252726826086956,-97.14291510144928,183.86807138387408,4.0,1628.6089,1691270,"Butler silt loam, 0 to 1 percent slopes"
2649,41.252726826086956,-97.14282763768117,185.809043541912,5.0,1626.9685,1691270,"Butler silt loam, 0 to 1 percent slopes"
2650,41.252726826086956,-97.14274017391304,188.82089395969703,5.0,1627.2966,1691270,"Butler silt loam, 0 to 1 percent slopes"
2651,41.252726826086956,-97.14265271014493,192.01012379553214,5.0,1626.9685,1691270,"Butler silt loam, 0 to 1 percent slopes"
2652,41.252726826086956,-97.14256524637682,194.29272882157431,5.0,1624.0157,1691270,"Butler silt loam, 0 to 1 percent slopes"
2653,41.252726826086956,-97.1424777826087,196.18528470364717,6.0,1629.2651,1691270,"Butler silt loam, 0 to 1 percent slopes"
2654,41.252726826086956,-97.14239031884058,197.7560557992143,6.0,1625.6562,1691287,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
2655,41.252726826086956,-97.14230285507246,198.33763182664921,6.0,1624.0157,1691287,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
2656,41.252726826086956,-97.14221539130435,198.1711876077207,6.0,1624.0157,1691287,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
2657,41.252726826086956,-97.14212792753624,197.96208583185546,6.0,1623.0315,1691287,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
2658,41.252726826086956,-97.14204046376811,197.87209265531783,6.0,1620.7349,1691287,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
2661,41.252801956521736,-97.14790053623189,184.1326653773905,4.0,1626.6404,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2662,41.252801956521736,-97.14781307246376,184.15457059919152,4.0,1625.3281,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2663,41.252801956521736,-97.14772560869565,182.83464277922724,4.0,1625.3281,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2664,41.252801956521736,-97.14763814492754,180.82925469515015,4.0,1627.6247,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2665,41.252801956521736,-97.14755068115942,178.2367353668653,4.0,1626.3123,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2666,41.252801956521736,-97.1474632173913,175.63636209558996,3.0,1624.3438,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2667,41.252801956521736,-97.14737575362318,172.9124507894641,3.0,1624.6719,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2668,41.252801956521736,-97.14728828985507,170.66110471256042,3.0,1626.9685,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2669,41.252801956521736,-97.14720082608696,169.07193984251526,3.0,1624.0157,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2670,41.252801956521736,-97.14711336231883,168.76581049185012,3.0,1625.9843,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2671,41.252801956521736,-97.14702589855072,169.7410687681184,3.0,1625.9843,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2672,41.252801956521736,-97.14693843478261,171.49643062748422,3.0,1624.0157,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2673,41.252801956521736,-97.14685097101449,173.45853757474734,3.0,1625.0,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2674,41.252801956521736,-97.14676350724638,175.24685209087778,3.0,1627.6247,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2675,41.252801956521736,-97.14667604347827,176.51646830970313,4.0,1625.6562,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2676,41.252801956521736,-97.14658857971014,177.1782242732164,4.0,1631.5617,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2677,41.252801956521736,-97.14650111594203,177.77284706678344,4.0,1622.7034,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2678,41.252801956521736,-97.1464136521739,178.36169770921396,4.0,1626.9685,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2679,41.252801956521736,-97.1463261884058,179.30147834957313,4.0,1625.9843,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2680,41.252801956521736,-97.14623872463768,180.14705817331267,4.0,1623.3596,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2681,41.252801956521736,-97.14615126086956,180.55313242126303,4.0,1626.6404,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2682,41.252801956521736,-97.14606379710145,180.97004845449933,4.0,1629.9213,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2683,41.252801956521736,-97.14597633333334,181.40808467372017,4.0,1624.3438,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2684,41.252801956521736,-97.14588886956521,181.7159372453398,4.0,1624.3438,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2685,41.252801956521736,-97.1458014057971,181.60885502881817,4.0,1625.9843,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2686,41.252801956521736,-97.14571394202899,181.54541779754996,4.0,1626.9685,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2687,41.252801956521736,-97.14562647826087,181.69812808001322,4.0,1624.0157,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2688,41.252801956521736,-97.14553901449275,181.60950975557495,4.0,1623.3596,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2689,41.252801956521736,-97.14545155072463,181.10761148356653,4.0,1626.6404,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2690,41.252801956521736,-97.14536408695652,180.52604020312896,4.0,1630.9055,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2691,41.252801956521736,-97.14527662318841,180.30884774066948,4.0,1624.0157,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2692,41.252801956521736,-97.14518915942028,180.59571588357556,4.0,1629.5932,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2693,41.252801956521736,-97.14510169565217,180.99370624925652,4.0,1627.6247,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
